totmou,creditcd,eqpdays,Customer_ID
7269,Y,371,1082423
13552,N,83,1069232
4152,Y,675,1031705
1863,Y,218,1089806
4155,N,222,1076695
5441,Y,68,1091652
7294,Y,460,1043846
4395,N,333,1088967
11544,Y,498,1045239
3751,Y,592,1046584
288,Y,284,1076771
2030,Y,439,1057800
1928,Y,261,1083737
4078,Y,1019,1008539
4874,Y,507,1056697
810,N,131,1097730
4411,Y,741,1020126
2781,Y,276,1078557
24069,Y,199,1018015
284,Y,4,1016607
5960,Y,809,1015068
1330,Y,877,1013855
12625,Y,552,1044329
10194,N,209,1088984
9223,N,745,1029191
5699,Y,109,1045505
3706,Y,255,1021478
9195,N,486,1040941
1489,Y,958,1005998
6282,Y,357,1064411
6721,Y,893,1016302
6346,Y,460,1013751
1834,Y,575,1029380
9703,N,135,1091059
36302,Y,257,1008208
1989,N,206,1091061
12620,Y,509,1023685
1502,Y,603,1035097
59449,Y,380,1015658
11271,N,440,1068005
2066,N,168,1055064
3385,N,311,1091273
21518.05,Y,657,1001867
1438,Y,304,1062755
5684,,244,1072218
10517,N,307,1056368
2842,Y,564,1032592
925,,344,1066597
5124,N,377,1068315
21991,Y,241,1005704
2524,N,580,1047767
3981,Y,331,1068378
4957,Y,790,1013047
4120,Y,902,1011089
9121,N,71,1045750
9275,N,126,1076112
4787,Y,333,1076198
1737,Y,403,1056196
7736,Y,245,1027338
10267,Y,353,1086911
4060,Y,340,1088347
2097,Y,569,1007086
3639,Y,111,1054933
7533,Y,641,1028649
1636,Y,363,1085074
4210,N,428,1051671
5871,Y,254,1053959
15067,Y,45,1027630
3727,Y,566,1049266
2038,N,796,1019146
2152,Y,461,1048761
2892,Y,219,1002366
6675,Y,121,1028772
3275,Y,318,1070208
14502,N,748,1019471
1320,Y,325,1089778
2863,Y,618,1019639
9213,N,420,1046932
18750,Y,534,1046285
8167,N,332,1068224
2022,N,661,1018335
6047,Y,40,1089902
4668,Y,408,1055525
6648,N,295,1074220
9579,Y,194,1051859
1343,Y,324,1059340
3456,Y,18,1071184
3187,Y,16,1062599
3714,Y,257,1048824
3841,Y,931,1007540
2293,Y,578,1047944
17206,N,114,1011210
1457,Y,697,1017236
3968,N,381,1079315
1566,Y,321,1090228
612,Y,725,1021284
4707,Y,345,1004669
26249,N,144,1049782
5845,Y,459,1042810
6410,Y,136,1063964
2664,Y,332,1057553
11980,Y,299,1032537
2230,N,543,1040496
8190,N,235,1050396
557,Y,982,1099007
1177,Y,460,1065065
12698,Y,408,1033811
1312,Y,491,1059746
2242,Y,940,1011394
14566,N,84,1035282
3130,Y,216,1090168
6112,Y,381,1079231
6038,Y,525,1028759
1928,Y,779,1016781
5886,Y,151,1011051
2574,N,412,1062791
8462,Y,282,1049228
32828,N,184,1011205
19030,N,198,1010813
1481,N,280,1077754
1702,Y,845,1015584
4847,Y,205,1066934
4010,Y,374,1081581
3920,Y,1377,1002146
5513,Y,502,1044749
2254,Y,608,1025479
3541,Y,630,1038121
14466,,387,1023352
11701,N,451,1013487
3641,N,137,1091035
1739,Y,770,1017405
6211,N,793,1012932
13860,Y,655,1034603
7659,Y,657,1021722
2193,Y,211,1090513
26547,N,142,1099059
34375,Y,288,1015715
9311,N,229,1085015
2097,Y,806,1018201
15127,Y,522,1028674
7263,N,879,1099655
12649,Y,364,1025682
1321,Y,530,1041906
12812,Y,3,1060840
6701,Y,533,1046369
7440,Y,915,1099039
3784,Y,317,1060712
18088,Y,436,1098085
31645,N,131,1079795
7943,Y,81,1007795
380,Y,333,1076178
1973,N,406,1063735
1479,Y,306,1062478
485,Y,323,1055853
7960,N,185,1019827
5264,N,136,1052250
3204,Y,807,1023169
3258,Y,735,1015682
6619,N,554,1033966
4872,Y,489,1040133
21199,Y,451,1023124
2820,Y,488,1060278
5889,Y,203,1082182
2432,Y,631,1023631
13702,Y,68,1091010
6452,Y,307,1083816
8871,Y,353,1065210
11249,Y,106,1039541
6908,Y,65,1038161
5458,Y,574,1029772
3317,Y,96,1005423
517,Y,1638,1097898
6407,N,307,1062289
7402,Y,812,1017691
9695,N,332,1089051
14068,N,38,1087178
1978,Y,288,1065784
722,Y,325,1089735
13877,N,244,1091896
14793,Y,268,1094422
6592,Y,880,1013735
2681,Y,674,1038362
36563,Y,81,1024580
3921,N,191,1097212
4312,N,458,1065562
461,N,207,1094369
7846,Y,348,1063658
5218,Y,470,1048099
17673,Y,140,1047382
3354,N,378,1079861
4754,Y,15,1062868
1152,Y,341,1066989
2044,N,461,1054447
